"15.8.281.10","Con lampada ad alogenuri metallici a bruciatore al quarzo 400 W","cad","  254.00 ","16.30"
"15.8.281.11","Con lampada ad alogenuri metallici a bruciatore ceramico 70 W","cad","  221.00 ","16.30"
"15.8.281.12","Con lampada ad alogenuri metallici a bruciatore ceramico 100 W","cad","  222.00 ","16.30"
"15.8.281.13","Con lampada ad alogenuri metallici a bruciatore ceramico 150 W","cad","  227.00 ","16.30"
"15.8.281.14","Con lampada ad alogenuri metallici a bruciatore ceramico 250 W","cad","  278.00 ","16.30"
"15.8.282.0","ARMATURA STRADALE CON CORPO E COPERTURA IN ALLUMINIO PRESSOFUSO CON SORGENTE LUMINOSA A LED.  Armatura stradale con corpo e copertura in alluminio pressofuso con innesto universale per applicazione su braccio o testa palo di diametro 60mm, con una regolazione da 0 a120°; sistema di dissipazione termica a flusso d'aria laminare, realizzato con alettature o soluzioni alternative, in grado di garantire alla lampada a LED una vita minima di 70,000 ore B20L80;  vano gruppo ottico IP66, realizzato in classe di isolamento I o II; ottica composta da moduli LED con riflettore in alluminio con finitura superficiale realizzata con deposizione sotto vuoto di argento; sorgente luminosa costituita da LED ad alta efficienza (non inferiore a 105 lm/W) con temperatura di colore bianco neutro Tc=4000K; classificazione ""EXTEMP GROUP"" secondo la norma CEI EN 62471:2009-2 ""Sicurezza foto-biologica delle lampade e sistemi di lampade""; fornita e posta in opera con l'uso di piattaforma aerea omologata. Sono compresi: la lampada cablata; alimentatore programmato con un profilo di riduzione automatica del flusso luminoso senza l'uso di comandi esterni; gli accessori. E' inoltre compreso quanto altro occorre per dare l'opera finita.","","",""
"15.8.282.1","Con flusso luminoso emesso dall'apparecchio compreso fra 4000 lm e 4400 lm","cad","  576.00 ","13.89"
"15.8.282.2","Con flusso luminoso emesso dall'apparecchio compreso fra 6000 lm e 6400 lm","cad","  633.00 ","13.89"
"15.8.282.3","Con flusso luminoso emesso dall'apparecchio compreso fra7500 lm e 8200 lm","cad","  652.00 ","13.89"
"15.8.282.4","Con flusso luminoso emesso dall'apparecchio compreso fra 11500 lm e 12200 lm","cad","  905.00 ","13.89"
"15.8.282.5","Con flusso luminoso emesso dall'apparecchio compreso fra 15200 lm e 16000 lm","cad","  987.00 ","13.89"
"15.8.291.0","ARMATURA STRADALE CON CORPO E COPERTURA IN ALLUMINIO PRESSOFUSO CON LAMPADA A SCARICA.  Armatura stradale con corpo e copertura in alluminio pressofuso applicabile su braccio o testa palo di diametro 60mm, con fissaggio a doppia staffa, realizzata con corpo in alluminio pressofuso e copertura in alluminio pressofuso incernierata con gancio in acciaio inox ad apertura dall'alto, vetro piano temperato spessore 4mm, riflettore in alluminio purissimo, vano portaccessori con grado di protezione IP44, vano gruppo ottico IP66, realizzata in classe di isolamento 1 o 2 ed ottica cut-off; fornita e posta in opera con l'uso di piattaforma aerea omologata. Sono compresi: la lampada cablata e rifasata; I'accenditore di tipo ferromagnetico; gli accessori. E' inoltre compreso quanto altro occorre per dare l'opera finita.","","",""
"15.8.291.1","Con lampada a Vapori di Sodio ad Alta Pressione 70 W","cad","  199.00 ","16.30"
"15.8.291.2","Con lampada a Vapori di Sodio ad Alta Pressione 100 W","cad","  203.00 ","16.30"
"15.8.291.3","Con lampada a Vapori di Sodio ad Alta Pressione 150 W","cad","  205.00 ","16.30"
"15.8.291.4","Con lampada a Vapori di Sodio ad Alta Pressione 250 W","cad","  251.00 ","16.30"
"15.8.291.5","Con lampada a Vapori di Sodio ad Alta Pressione 400 W","cad","  268.00 ","16.30"
"15.8.291.6","Con lampada ad alogenuri metallici a bruciatore al quarzo 70 W","cad","  213.00 ","16.30"
"15.8.291.7","Con lampada ad alogenuri metallici a bruciatore al quarzo 100 W","cad","  215.00 ","16.30"
"15.8.291.8","Con lampada ad alogenuri metallici a bruciatore al quarzo 150 W","cad","  211.00 ","16.30"
"15.8.291.9","Con lampada ad alogenuri metallici a bruciatore al quarzo 250 W","cad","  269.00 ","16.30"
"15.8.291.10","Con lampada ad alogenuri metallici a bruciatore al quarzo 400 W","cad","  284.00 ","16.30"
"15.8.291.11","Con lampada ad alogenuri metallici a bruciatore ceramico 70 W","cad","  226.00 ","16.30"
"15.8.291.12","Con lampada ad alogenuri metallici a bruciatore ceramico 100 W","cad","  228.00 ","16.30"
"15.8.291.13","Con lampada ad alogenuri metallici a bruciatore ceramico 150 W","cad","  232.00 ","16.30"
"15.8.291.14","Con lampada ad alogenuri metallici a bruciatore ceramico 250 W","cad","  306.00 ","16.30"
"15.8.301.0","INCREMENTO ALLA FORNITURA IN OPERA DI ARMATURA STRADALE PER L'INSERIMENTO DI REATTORE ELETTRONICO: Incremento alla fornitura in opera di armatura stradale  dotata di lamapda a scarica (Vapori di Sodio Alta Pressione, Alogenuri metallici a bruciatore al quarzo o ceramico) da 70/100/150 W per l'inserimento di reattore elettronico fisso o a regolazione automatica, con capacità di riconoscimento della mezzanotte, in grado di ridurre l'assorbimento di energia elettrica dell'apparecchio di un valore fino al 60% di quello nominale. Incluso il sistema di autoregolazione, di riconoscimento della mezzanotte ed attivazione e la predispozione per i controllo a distanza oltre a quant'altro per dare l'opera finita e funzionante a regola d'arte.","","",""
"15.8.301.1","Reattore elettronico fisso per potenza fino a 70 W","cad","  68.00 ","0.00"
"15.8.301.2","Reattore elettronico fisso per potenza fino a 100 W","cad","  86.00 ","0.00"
"15.8.301.3","Reattore elettronico fisso per potenza fino a 150 W","cad","  86.00 ","0.00"
"15.8.301.4","Reattore elettronico a regolazione automatica per potenza fino a 70 W","cad","  95.00 ","0.00"
"15.8.301.5","Reattore elettronico a regolazione automatica per potenza fino a 100 W","cad","  96.00 ","0.00"
"15.8.301.6","Reattore elettronico a regolazione automatica per potenza fino a 150 W","cad","  96.00 ","0.00"
